tid,text,datetime,lang,location,place,source,retweeted,user,q_text
1190821823123865600,"In 1965 the CEO-to-worker pay ratio was 20:1.

Last year, it was 287:1.

Workers aren't struggling because they're not w…",2019-11-03 02:43:41,en,,,"""http://twitter.com/#!/download/ipad""",14666,portlandsandy11,worker
1190821803624669184,"The wage of the American worker continues to grow!

Wages have increased 3% percent over the prior 12 months, continuing a…",2019-11-03 02:43:37,en,,,"""http://twitter.com/download/android""",263,James59270371,worker
1190821803247058945,Microsoft Japan’s experiment with 3-day weekend boosts worker productivity by 40 percent https://t.co/CQ1UZ1ANaz (RocketNew…,2019-11-03 02:43:36,en,,,"""http://twitter.com/download/iphone""",56,aryompme,worker
1190821781436682241,"BJP worker's teen daughter raped for 10 days by SP Leader Kunwar Rizwan 

Rape accused Rizwan now joined BJP

Pls RT as…",2019-11-03 02:43:31,en,,,"""http://twitter.com/download/android""",840,Garvit19S,worker
1190821742488502272,"Did you know that if you text 85258 when you are feeling really depressed or suicidal, a crisis worker will text you back?…",2019-11-03 02:43:22,en,"Georgia, USA",,"""https://mobile.twitter.com""",4,CaroleB68062495,worker
1190821705931010049,HE’S LITERALLY A MIRACLE WORKER AND AN ANGEL AND IM OBSESSED WITH HIM https://t.co/QOWlyh9TG6,2019-11-03 02:43:13,en,,,"""http://twitter.com/download/iphone""",0,xxmariaprods,worker
1190821644513808385,"My co worker said his goal was to kill me
Chase your dreams dudes🤙🏼",2019-11-03 02:42:59,en,,,"""http://twitter.com/download/iphone""",0,andres_veland,worker
1190821628235649024,Famous woman as drive-in sex worker https://t.co/wbtgVyVRvr @EscortHonest @SapioCentric @Maggie_McNeill @njeastman @petroniu…,2019-11-03 02:42:55,en,The nightly Vienna,,"""https://mobile.twitter.com""",4,gstv_klmt,worker
1190821627270959106,@IntentionalFood @ursamajr @JJMast1 That’s kind of a messed up to think that way.   Every hotel worker and person I see in the field is an illegal Mexican.  Wow 😂,2019-11-03 02:42:54,en,"Texas, USA",,"""http://twitter.com/download/iphone""",0,Handsomedantx,worker
1190821623718436864,“Strength coaches are the worker bees of every college football program. They build more than muscles; they build char…,2019-11-03 02:42:54,en,"Rochester, NY",,"""http://twitter.com/download/iphone""",6,JoeAratari,worker
1190821605070528512,"@MPAVictoria it's also false, any productivity analysis shows that worker productivity has never been higher while wages…",2019-11-03 02:42:49,en,"Peterborough, Ontario #Ptbo",,"""http://twitter.com/download/android""",3,deanorthey,worker
1190821595415056384,"mulan - hoshi
-no fiercer princess than mulan
-hardest worker
-will do it all for her family/country https://t.co/lp6gnCWcJc",2019-11-03 02:42:47,en,Palangkaraya,,"""http://twitter.com/download/android""",74,kwonsoulmate,worker
1190821540981608448,"Fascinating woman in history: Ching Shih (1775-1844)

Occupation: pirate fleet leader commanding over 300 ships sailed by 20,00…",2019-11-03 02:42:34,en,"Ontario, Canada",,"""http://twitter.com/download/android""",48,silver_canuck,worker
1190821538812977152,"This is the gig worker ballot initiative Uber, Lyft, DoorDash and Instacart are backing https://t.co/O6v2hj7Slc https://t.co/ATtrj1jINv",2019-11-03 02:42:33,en,"Lake Hopatcong, NJ",,"""https://dlvrit.com/""",0,StascomTech,worker
1190821485364928512,"With no demonstrators around, the retreating Police hurled teargas bombs at the press and first aid workers. A first aid worker suffered a direct hit, the bomb exploding on his back causing serious injury.
#hongkongpolicebrutality  https://t.co/ksrQE2O10K",2019-11-03 02:42:21,en,"1.319784,103.807127",,"""http://twitter.com/download/iphone""",0,davidphtsui,worker
1190821468466270208,"@BeetleTim &lt; scanned the room again, she caught one of Daniel's little worker bees watching her, while pretending to work.

A frown crossed her face for a moment, and then she reached her left hand across the table, offering it to Drake. Her eyebrow raised &gt;",2019-11-03 02:42:17,en,Troubled Waters,,"""https://twittrp.com""",0,RavagerRosie,worker
1190821467249946624,"@SaltyNewYorker @marisnickstan47 @Feinsand @DanAlanRourke @Yankees I want both, but they seem blind on pitching. Even if Germán comes back, now we need 2 starters. 
Firing Larry was just pathetic, too—a move to deflect attention from mgmt's failure to get a pitcher at the deadline. No 4th starter and Germán out? Larry's not a miracle worker.",2019-11-03 02:42:16,en,"Flint, MI",,"""https://mobile.twitter.com""",0,moselmensch,worker
1190821461436448768,but can you imagine if it wasn’t jimin and he was just yelling “WHO THE FUCK ARE YOU?” to some poor unsuspecting hotel w…,2019-11-03 02:42:15,en,@ ya moms pusthy,,"""https://mobile.twitter.com""",1,iloveyousoftie,worker
1190821455669252096,@emrazz What's additionally awesome was that she was a sex worker very much in charge of her own sexuality.,2019-11-03 02:42:14,en,USA,,"""http://twitter.com/download/android""",0,techniclyauthor,worker
1190821426867003392,@dougmcdnor @carlinspace Unfair to Worker and Parasite TBH,2019-11-03 02:42:07,en,,,"""https://mobile.twitter.com""",0,Prankster36,worker
1190821426225405952,"A ""luxury escort"" and survival sex worker deserve the same amounts of respect and honour. A ""luxury escort"" and surviva…",2019-11-03 02:42:07,en,FMTY 🛫,,"""http://twitter.com/download/iphone""",43,thekinkycoach,worker
1190821423322779649,"I hate the idea that billionaires have acquired their wealth through “hard work”.

They obtain their wealth at the expense…",2019-11-03 02:42:06,en,"Wellington, New Zealand",,"""http://twitter.com/download/android""",24,SuzanneDWallace,worker
1190821332277174272,"concept || poly, a dom &amp; two subs 

one of the subs being forced not to cum all week. so far they’ve been successful, but t…",2019-11-03 02:41:44,en,he/him,,"""http://twitter.com/download/android""",28,sadspencey,worker
1190821329362210816,"AOC rising from service industry worker to the U.S. Congress is the American Dream. Being born rich, getting everything hand…",2019-11-03 02:41:43,en,,,"""http://twitter.com/download/android""",39,drnocturne,worker
1190821293869785089,"Priority dates for EB2 move 1-3 days each month, how many decades will it take for a high skilled worker to get a GC. Alre…",2019-11-03 02:41:35,en,Phoenix,,"""https://mobile.twitter.com""",30,FromPhoenix,worker
1190821279118417920,A worker upsurge? This week in the war on workers https://t.co/RJtvuHG2oJ,2019-11-03 02:41:31,en,"California, USA",,"""http://twitter.com""",0,bcuriouswithme,worker
1190821276849516547,but can you imagine if it wasn’t jimin and he was just yelling “WHO THE FUCK ARE YOU?” to some poor unsuspecting hotel worker? https://t.co/cWtMtqsfvE,2019-11-03 02:41:31,en,,,"""http://twitter.com/download/iphone""",1,BitchTheres_7,worker
1190821259820617728,"American billionaires: 607
Americans in poverty: 38M

CEO/worker pay ratio: 278:1

Wealth of 3 richest Americans: $345B…",2019-11-03 02:41:27,en,"Washington, D.C.",,"""http://twitter.com""",2146,Too_Much_Online,worker
